trial,route,mean,std,count,sem,ci_lower,ci_upper
17,Route B,-24.360529334268826,0.843779740525165,500,0.03773497715702806,-24.4344898894966,-24.28656877904105
18,Route B,-24.35235490534346,0.8241731931985661,500,0.03685814570450122,-24.424596870924283,-24.28011293976264
19,Route B,-24.315492874268514,0.8391529309998842,500,0.03752805994467863,-24.389047871760084,-24.241937876776944
20,Route B,-24.295438807379657,0.8415352855096025,500,0.0376346020772833,-24.369202627451134,-24.22167498730818
21,Route B,-24.282626310615605,0.8345014431347846,500,0.03732003908342107,-24.35577358721911,-24.209479034012098
22,Route B,-24.305664928454757,0.8567213857095839,500,0.03831374512448893,-24.380759868898757,-24.230569988010757
23,Route B,-24.291046236149693,0.857750091714192,500,0.03835975025559225,-24.366231346650654,-24.215861125648733
24,Route B,-24.28786283589475,0.858000941384159,500,0.03837096859387584,-24.363069934338746,-24.212655737450753
25,Route B,-24.270958551304588,0.8412077061354624,500,0.037619952282311214,-24.344693657777917,-24.19722344483126
26,Route B,-24.283288841592597,0.8404712884873026,500,0.0375870186838889,-24.356959398213018,-24.209618284972176
27,Route B,-24.298282501628087,0.8406166679106085,500,0.037593520249349734,-24.37196580131681,-24.224599201939363
28,Route B,-24.291302454486207,0.846065847151473,500,0.037837214953432806,-24.365463395794936,-24.217141513177477
29,Route B,-24.294876481567993,0.8409131507511971,500,0.0376067793650641,-24.36858576912352,-24.221167194012466
30,Route B,-24.27520784741169,0.8560221158748839,500,0.038282472826788844,-24.350241494152197,-24.20017420067118
31,Route B,-24.256057252524364,0.8653856263174079,500,0.0387012217439391,-24.331911647142483,-24.180202857906245
32,Route B,-24.259174812628533,0.8530041969517651,500,0.03814750738953531,-24.33394392711202,-24.184405698145046
33,Route B,-24.248505951434975,0.8857937492003528,500,0.03961390074512777,-24.326149196895425,-24.170862705974525
34,Route B,-24.28149762806486,0.8734981011174392,500,0.03906402264631158,-24.358063112451628,-24.20493214367809
35,Route B,-24.271731483000952,0.8723858941952803,500,0.03901428324065172,-24.34819947815263,-24.195263487849274
36,Route B,-24.25411825596827,0.8790964997392158,500,0.03931439064398025,-24.33117446163047,-24.177062050306066
37,Route B,-24.264063395355713,0.9118451665675927,500,0.04077895554799512,-24.343990148229782,-24.184136642481644
38,Route B,-24.290932858280375,0.8852173631824884,500,0.03958812397878327,-24.36852558127879,-24.21334013528196
39,Route B,-24.267897464273975,0.8887761165966583,500,0.039747276269768136,-24.34580212576272,-24.18999280278523
40,Route B,-24.26446783754417,0.884382151468116,500,0.03955077217540446,-24.341987351007962,-24.18694832408038
41,Route B,-24.236593978160663,0.8976324041331554,500,0.04014334148896597,-24.315274927479035,-24.15791302884229
42,Route B,-24.23610941596314,0.8947318049688251,500,0.04001362275082754,-24.31453611655476,-24.157682715371518
43,Route B,-24.228822541079655,0.9105826344271984,500,0.040722493394201115,-24.30863862813229,-24.14900645402702
44,Route B,-24.21443639457559,0.8908753607707081,500,0.039841157323259054,-24.292525062929176,-24.136347726222002
45,Route B,-24.213892007822405,0.860602812095462,500,0.038487327789458625,-24.289327170289745,-24.138456845355066
46,Route B,-24.198558169234882,0.8830153532124203,500,0.03948964709917918,-24.275957877549274,-24.12115846092049
47,Route B,-24.212136018123164,0.873256218755074,500,0.03905320533821544,-24.288680300586066,-24.135591735660263
48,Route B,-24.21414416197271,0.8657011244637897,500,0.0387153312499808,-24.29002621122267,-24.138262112722746
49,Route B,-24.208771527278827,0.8721916763895591,500,0.03900559755633105,-24.285222498489237,-24.132320556068418
50,Route B,-24.211518322624567,0.878483886226249,500,0.03928699373480168,-24.28852083034478,-24.134515814904354
51,Route B,-24.192767576936635,0.8850207849471823,500,0.03957933273284244,-24.270343069093006,-24.115192084780265
52,Route B,-24.20353453245819,0.8865268445014336,500,0.03964668576367182,-24.281242036554985,-24.125827028361392
53,Route B,-24.217916457507638,0.8875690705195719,500,0.039693295528161344,-24.295715316742832,-24.140117598272443
54,Route B,-24.20270931589985,0.8918853623007627,500,0.03988632596483067,-24.280886514790918,-24.12453211700878
55,Route B,-24.19328888993712,0.8824805002016132,500,0.039465727745376475,-24.270641716318057,-24.11593606355618
56,Route B,-24.189051444770378,0.8864847008418649,500,0.039644801041919496,-24.26675525481254,-24.111347634728215
57,Route B,-24.186428023556825,0.8610604976351139,500,0.038507796109038234,-24.26190330393054,-24.11095274318311
58,Route B,-24.190281110729572,0.8373164037356808,500,0.03744592794857282,-24.263675129508776,-24.116887091950368
59,Route B,-24.185807005290034,0.8559538248315962,500,0.03827941875848793,-24.26083466605667,-24.110779344523397
60,Route B,-24.196216312196572,0.8416262876958315,500,0.03763867181877348,-24.269988108961368,-24.122444515431777
61,Route B,-24.19867801497341,0.8308386920287066,500,0.03715623587426401,-24.27150423728697,-24.12585179265985
62,Route B,-24.16295597756764,0.8210046337683786,500,0.03671644341896828,-24.234920206668818,-24.090991748466465
63,Route B,-24.19537536343343,0.8145360085471532,500,0.03642715770465568,-24.266772592534558,-24.123978134332305
