alpha,beta,negative_log_likelihood
0.09,0.93,179.7155034458831
0.09,0.94,180.95916683310182
0.09,0.95,182.213056965176
0.09,0.96,183.47684111971247
0.09,0.97,184.75019820940054
0.09,0.98,186.0328183705163
0.09,0.99,187.324402564718
0.09,1.0,188.62466219385877
0.1,0.05,201.01363029965216
0.1,0.06,197.57299452240568
0.1,0.07,194.23474969296433
0.1,0.08,190.99949886030285
0.1,0.09,187.86770729003962
0.1,0.1,184.83969967327712
0.1,0.11,181.91565828422833
0.1,0.12,179.09562210986462
0.1,0.13,176.379486958854
0.1,0.14,173.76700654101464
0.1,0.15,171.25779449289107
0.1,0.16,168.85132731032058
0.1,0.17,166.54694813541377
0.1,0.18,164.34387133356438
0.1,0.19,162.24118778621738
0.1,0.2,160.23787081731857
0.1,0.21,158.33278266576374
0.1,0.22,156.52468141275364
0.1,0.23,154.81222827167045
0.1,0.24,153.1939951487934
0.1,0.25,151.66847238566095
0.1,0.26,150.23407659792815
0.1,0.27,148.88915853090333
0.1,0.28,147.63201085829925
0.1,0.29,146.4608758578316
0.1,0.3,145.37395290486782
0.1,0.31,144.36940573315547
0.1,0.32,143.44536941949315
0.1,0.33,142.59995705688937
0.1,0.34,141.83126608813208
0.1,0.35,141.13738427861793
0.1,0.36,140.51639531371217
0.1,0.37,139.96638401174195
0.1,0.38,139.48544114894304
0.1,0.39,139.07166789726492
0.1,0.4,138.7231798799027
0.1,0.41,138.43811085278443
0.1,0.42,138.2146160230245
0.1,0.43,138.05087501760892
0.1,0.44,137.94509451734015
0.1,0.45,137.89551057239052
0.1,0.46,137.90039061674713
0.1,0.47,137.95803519941438
0.1,0.48,138.06677945052874
0.1,0.49,138.22499430058136
0.1,0.5,138.4310874707609
0.1,0.51,138.6835042520861
0.1,0.52,138.98072809049725
0.1,0.53,139.32128099448082
